trip_id,customer_id,trip_time,origin_zone,destination_zone,origin_x,origin_y,destination_x,destination_y,distance_km,duration_minute,rain,rush_hour,base_price,delta_price,final_price,customer_accept_prob,customer_accept
33,customer_032,2024-02-25 15:27:00,zone_10,zone_03,9.525,7.872,2.81,3.687,7.912,27.79,1,0,71367.0,10134.0,81501.0,0.8709,1
34,customer_110,2024-01-11 07:40:00,zone_10,zone_01,9.257,2.556,0.006,1.972,9.269,34.14,0,1,82684.0,13612.0,96296.0,0.4209,1
35,customer_193,2024-02-15 08:55:00,zone_03,zone_08,2.155,4.257,7.672,0.878,6.47,29.17,1,1,63405.0,20548.0,83953.0,0.7553,1
36,customer_028,2024-03-12 01:26:00,zone_02,zone_05,1.901,1.613,4.243,2.201,2.415,6.31,0,0,27645.0,6929.0,34574.0,0.7796,1
37,customer_197,2024-01-22 02:58:00,zone_02,zone_03,1.523,1.698,2.525,7.897,6.279,15.83,0,0,55589.0,866.0,56455.0,0.6634,0
38,customer_061,2024-02-24 07:36:00,zone_09,zone_03,8.198,7.563,2.354,5.201,6.303,30.07,1,1,62853.0,24355.0,87208.0,0.9354,0
39,customer_079,2024-01-27 17:46:00,zone_05,zone_04,4.901,0.667,3.422,7.459,6.951,27.91,0,1,65661.0,12318.0,77979.0,0.6285,1
40,customer_070,2024-01-24 05:14:00,zone_04,zone_05,3.38,2.85,4.853,1.767,1.828,7.07,0,0,24503.0,-4615.0,19888.0,0.9238,1
41,customer_123,2024-02-05 12:54:00,zone_04,zone_09,3.248,9.808,8.125,3.052,8.332,26.89,0,0,73437.0,2256.0,75693.0,0.5778,0
42,customer_130,2024-02-01 21:15:00,zone_03,zone_07,2.754,4.759,6.502,9.823,6.3,16.24,0,0,55920.0,4913.0,60833.0,0.4103,0
43,customer_001,2024-02-14 09:08:00,zone_09,zone_02,8.826,6.062,1.46,0.857,9.019,32.86,0,1,80544.0,20172.0,100716.0,0.5382,1
44,customer_129,2024-01-19 02:04:00,zone_05,zone_02,4.097,6.408,1.837,4.387,3.032,13.97,0,0,35177.0,-6219.0,28958.0,0.8755,1
45,customer_064,2024-02-05 01:39:00,zone_03,zone_09,2.44,1.961,8.471,2.958,6.113,17.66,0,0,55508.0,-8349.0,47159.0,0.8204,1
46,customer_197,2024-02-26 14:37:00,zone_08,zone_03,7.104,3.693,2.499,0.073,5.858,17.78,0,0,54038.0,1769.0,55807.0,0.4555,1
47,customer_004,2024-02-04 23:11:00,zone_07,zone_03,6.355,4.007,2.187,5.525,4.436,16.74,1,0,44986.0,6341.0,51327.0,0.9649,1
48,customer_186,2024-02-29 09:52:00,zone_08,zone_01,7.154,2.307,0.036,5.5,7.801,31.91,0,1,72761.0,9749.0,82510.0,0.853,1
49,customer_070,2024-01-11 20:16:00,zone_09,zone_08,8.22,2.34,7.741,3.205,0.989,4.36,1,0,18114.0,13340.0,31454.0,0.9424,1
50,customer_134,2024-01-13 16:36:00,zone_02,zone_08,1.012,6.079,7.385,4.723,6.516,29.88,1,1,64036.0,22860.0,86896.0,0.9653,1
51,customer_034,2024-03-18 09:31:00,zone_01,zone_04,0.02,1.085,3.476,3.919,4.469,25.28,1,1,49454.0,19553.0,69007.0,0.8088,0
52,customer_122,2024-02-11 16:35:00,zone_01,zone_01,0.506,1.291,0.073,4.642,3.379,17.45,0,1,38999.0,16322.0,55321.0,0.7844,1
53,customer_117,2024-02-24 13:44:00,zone_08,zone_08,7.068,5.733,7.856,8.48,2.858,10.83,0,0,32563.0,4057.0,36620.0,0.8291,1
54,customer_082,2024-03-07 00:55:00,zone_10,zone_01,9.345,4.493,0.994,7.14,8.76,29.47,1,0,77295.0,12783.0,90078.0,0.6137,1
55,customer_050,2024-01-14 13:43:00,zone_04,zone_05,3.311,6.119,4.605,2.802,3.56,12.8,0,0,37760.0,1196.0,38956.0,0.7003,1
56,customer_111,2024-03-28 11:54:00,zone_08,zone_09,7.812,0.27,8.401,2.395,2.205,12.07,0,0,29265.0,1884.0,31149.0,0.6948,0
57,customer_050,2024-02-08 11:52:00,zone_08,zone_03,7.292,7.049,2.443,7.252,4.853,14.27,0,0,46253.0,-5222.0,41031.0,0.6462,1
58,customer_085,2024-03-21 18:21:00,zone_10,zone_04,9.781,8.499,3.797,2.245,8.656,33.64,0,1,78756.0,14915.0,93671.0,0.6159,1
59,customer_091,2024-02-07 11:33:00,zone_05,zone_07,4.708,5.241,6.609,9.076,4.28,14.65,0,0,43005.0,1337.0,44342.0,0.8377,1
60,customer_173,2024-02-06 13:11:00,zone_02,zone_07,1.661,8.408,6.732,8.328,5.072,18.21,1,0,49537.0,9836.0,59373.0,0.8494,1
61,customer_193,2024-02-24 15:55:00,zone_08,zone_05,7.652,3.997,4.627,2.525,3.364,13.68,0,0,37024.0,-1301.0,35723.0,0.8285,0
62,customer_042,2024-01-18 08:58:00,zone_09,zone_05,8.188,0.789,4.338,8.015,8.188,32.05,0,1,75153.0,13609.0,88762.0,0.8074,1
63,customer_040,2024-02-24 03:53:00,zone_08,zone_05,7.073,3.775,4.195,1.913,3.428,9.17,0,0,35153.0,307.0,35460.0,0.8631,1
64,customer_142,2024-03-29 01:44:00,zone_09,zone_05,8.632,4.464,4.86,0.249,5.656,18.64,0,0,53256.0,6591.0,59847.0,0.6734,1
65,customer_062,2024-02-28 00:50:00,zone_04,zone_04,3.712,8.655,3.466,9.611,0.987,4.47,0,0,18157.0,4893.0,23050.0,0.8876,1
66,customer_094,2024-01-07 10:47:00,zone_07,zone_03,6.903,3.347,2.564,7.614,6.086,20.57,1,0,56801.0,12109.0,68910.0,0.8598,1
67,customer_058,2024-03-03 12:13:00,zone_03,zone_04,2.638,3.151,3.161,4.89,1.816,10.04,1,0,25916.0,4740.0,30656.0,0.9536,1
68,customer_116,2024-01-04 20:15:00,zone_05,zone_05,4.464,8.88,4.778,8.432,0.547,5.84,0,0,16202.0,-2132.0,14070.0,0.7148,1
69,customer_180,2024-01-10 10:31:00,zone_03,zone_04,2.425,2.51,3.821,0.758,2.24,13.76,1,0,30320.0,11394.0,41714.0,0.8737,1
70,customer_131,2024-01-26 12:25:00,zone_02,zone_06,1.545,6.424,5.855,7.397,4.418,13.73,0,0,43373.0,6597.0,49970.0,0.7794,1
71,customer_037,2024-01-28 23:44:00,zone_01,zone_07,0.36,3.266,6.311,9.563,8.664,24.23,0,0,74099.0,750.0,74849.0,0.6682,0
72,customer_160,2024-01-01 18:44:00,zone_07,zone_10,6.714,9.515,9.961,8.186,3.508,15.68,0,1,38888.0,14417.0,53305.0,0.9311,1
73,customer_187,2024-01-02 19:58:00,zone_09,zone_07,8.753,1.896,6.152,4.317,3.553,10.46,0,0,36548.0,384.0,36932.0,0.7168,1
74,customer_077,2024-03-12 16:47:00,zone_04,zone_08,3.144,7.239,7.346,3.463,5.649,23.23,0,1,55509.0,14648.0,70157.0,0.6135,1
75,customer_177,2024-02-10 15:00:00,zone_05,zone_01,4.292,5.501,0.98,8.924,4.763,18.53,1,0,47843.0,7607.0,55450.0,0.839,1
76,customer_096,2024-01-18 09:20:00,zone_01,zone_08,0.035,9.787,7.604,2.915,10.223,39.34,1,1,91008.0,25438.0,116446.0,0.7929,1
77,customer_127,2024-02-08 18:19:00,zone_05,zone_06,4.129,9.941,5.089,9.374,1.115,14.97,1,1,24175.0,16707.0,40882.0,0.9379,1
78,customer_061,2024-03-03 09:38:00,zone_03,zone_09,2.813,7.937,8.666,3.198,7.531,30.13,0,1,70251.0,8225.0,78476.0,0.7559,0
79,customer_070,2024-03-07 06:20:00,zone_06,zone_10,5.742,1.035,9.709,1.25,3.973,12.8,0,0,40238.0,11427.0,51665.0,0.6966,0
80,customer_052,2024-01-26 07:58:00,zone_10,zone_03,9.085,4.69,2.304,2.359,7.17,23.84,0,1,64940.0,14279.0,79219.0,0.6524,1
81,customer_081,2024-01-16 02:17:00,zone_06,zone_10,5.062,8.545,9.287,5.195,5.392,21.7,1,0,53202.0,16536.0,69738.0,0.6136,1
82,customer_027,2024-03-27 22:26:00,zone_07,zone_07,6.755,6.385,6.716,1.311,5.074,17.71,0,0,49299.0,5934.0,55233.0,0.469,1
83,customer_063,2024-02-26 12:49:00,zone_08,zone_08,7.055,8.79,7.391,3.8,5.001,15.03,0,0,47521.0,-2549.0,44972.0,0.679,1
84,customer_137,2024-03-29 01:22:00,zone_02,zone_05,1.524,7.994,4.724,9.059,3.373,15.14,1,0,37808.0,12123.0,49931.0,0.8863,1
85,customer_120,2024-01-28 08:02:00,zone_04,zone_04,3.466,3.13,3.548,0.939,2.193,18.83,1,1,32573.0,16428.0,49001.0,0.8561,1
86,customer_187,2024-01-11 11:19:00,zone_02,zone_09,1.131,1.951,8.0,6.145,8.048,22.91,1,0,69743.0,9516.0,79259.0,0.5002,0
87,customer_197,2024-02-04 01:21:00,zone_05,zone_01,4.407,3.226,0.22,4.038,4.265,17.99,0,0,44585.0,-4117.0,40468.0,0.795,1
88,customer_039,2024-01-30 18:36:00,zone_09,zone_06,8.873,6.959,5.406,6.475,3.501,24.25,1,1,43131.0,18782.0,61913.0,0.9074,1
89,customer_090,2024-03-05 23:42:00,zone_05,zone_01,4.809,4.811,0.738,4.896,4.072,15.06,0,0,41962.0,-1027.0,40935.0,0.742,0
90,customer_057,2024-03-05 12:32:00,zone_05,zone_03,4.562,0.438,2.546,8.767,8.57,23.86,0,0,73350.0,-2287.0,71063.0,0.4788,0
91,customer_184,2024-01-07 16:24:00,zone_03,zone_08,2.093,7.425,7.252,4.025,6.179,31.7,1,1,62924.0,23046.0,85970.0,0.8726,0
92,customer_154,2024-02-22 20:30:00,zone_04,zone_08,3.102,0.447,7.547,5.084,6.423,16.32,0,0,56698.0,-1290.0,55408.0,0.4365,0
93,customer_051,2024-01-31 11:08:00,zone_10,zone_09,9.366,4.093,8.89,1.301,2.832,9.59,0,0,31787.0,3221.0,35008.0,0.8261,1
94,customer_118,2024-02-25 00:10:00,zone_04,zone_08,3.03,4.623,7.154,4.903,4.133,17.81,1,0,43703.0,13226.0,56929.0,0.8211,1
95,customer_039,2024-02-05 16:36:00,zone_08,zone_07,7.314,5.03,6.747,1.147,3.924,19.56,0,1,43324.0,13941.0,57265.0,0.7819,1
96,customer_026,2024-02-18 14:51:00,zone_01,zone_10,0.421,1.391,9.451,5.831,10.063,29.98,0,0,85368.0,3909.0,89277.0,0.5371,0
97,customer_016,2024-03-05 14:31:00,zone_02,zone_06,1.283,7.478,5.374,4.274,5.196,16.6,0,0,49476.0,3719.0,53195.0,0.528,0
98,customer_085,2024-01-27 04:03:00,zone_04,zone_07,3.115,8.494,6.539,7.834,3.487,12.14,0,0,36992.0,-3724.0,33268.0,0.6579,1
99,customer_012,2024-01-18 15:58:00,zone_10,zone_09,9.014,6.979,8.681,4.185,2.814,8.59,0,0,31179.0,5629.0,36808.0,0.734,1
100,customer_170,2024-03-04 04:19:00,zone_03,zone_08,2.193,9.511,7.637,6.306,6.317,22.6,1,0,59202.0,7337.0,66539.0,0.7277,1
101,customer_065,2024-03-26 17:44:00,zone_08,zone_08,7.267,2.575,7.699,0.59,2.031,19.94,0,1,32156.0,19013.0,51169.0,0.8494,0
102,customer_194,2024-02-09 15:53:00,zone_02,zone_06,1.675,1.607,5.368,7.1,6.619,19.9,0,0,59664.0,5007.0,64671.0,0.6096,0
103,customer_051,2024-03-30 19:59:00,zone_07,zone_06,6.128,0.673,5.278,9.574,8.941,29.46,1,0,78376.0,10801.0,89177.0,0.909,1
104,customer_192,2024-01-17 08:06:00,zone_06,zone_07,5.868,7.215,6.487,4.478,2.806,19.42,0,1,36546.0,15472.0,52018.0,0.6626,1
105,customer_046,2024-03-14 07:11:00,zone_07,zone_08,6.219,1.621,7.005,0.098,1.714,16.0,1,1,28284.0,22639.0,50923.0,0.9274,1
106,customer_118,2024-03-29 09:38:00,zone_03,zone_06,2.863,9.382,5.461,6.036,4.236,21.32,0,1,46076.0,11057.0,57133.0,0.6013,0
107,customer_170,2024-01-27 02:45:00,zone_02,zone_02,1.621,5.984,1.855,1.452,4.538,14.02,0,0,44238.0,-991.0,43247.0,0.511,0
108,customer_144,2024-01-14 05:50:00,zone_09,zone_03,8.865,8.041,2.484,4.68,7.212,16.78,0,0,61662.0,7766.0,69428.0,0.4896,1
109,customer_126,2024-02-29 02:33:00,zone_06,zone_05,5.694,4.347,4.931,0.325,4.094,14.81,0,0,41969.0,2050.0,44019.0,0.3382,0
110,customer_116,2024-03-19 19:09:00,zone_03,zone_03,2.12,7.348,2.041,4.428,2.921,8.44,0,0,31746.0,-2921.0,28825.0,0.6169,1
111,customer_099,2024-01-08 18:42:00,zone_05,zone_05,4.133,4.437,4.235,8.745,4.309,23.13,0,1,47419.0,14236.0,61655.0,0.8217,1
112,customer_151,2024-02-27 07:40:00,zone_01,zone_02,0.671,5.388,1.471,1.354,4.113,19.77,0,1,44563.0,15544.0,60107.0,0.7432,1
113,customer_046,2024-03-19 17:28:00,zone_05,zone_02,4.754,7.736,1.462,4.983,4.291,28.81,1,1,50151.0,18494.0,68645.0,0.937,1
114,customer_186,2024-01-03 04:38:00,zone_05,zone_09,4.239,2.382,8.432,2.539,4.196,12.93,0,0,41641.0,-2642.0,38999.0,0.795,1
115,customer_138,2024-02-16 14:12:00,zone_02,zone_06,1.327,8.845,5.422,2.61,7.46,25.49,0,0,67505.0,4901.0,72406.0,0.4809,1
116,customer_021,2024-01-07 10:48:00,zone_05,zone_08,4.444,7.163,7.804,6.433,3.438,11.25,0,0,36253.0,4694.0,40947.0,0.9521,1
117,customer_004,2024-01-16 18:02:00,zone_07,zone_01,6.395,7.465,0.115,7.483,6.28,26.59,0,1,60975.0,15294.0,76269.0,0.8479,1
118,customer_127,2024-02-13 01:50:00,zone_10,zone_03,9.285,2.382,2.856,8.733,9.037,28.73,0,0,78587.0,2285.0,80872.0,0.4972,1
119,customer_195,2024-01-30 21:50:00,zone_08,zone_01,7.032,0.901,0.177,2.782,7.108,18.93,0,0,62113.0,-308.0,61805.0,0.6128,1
120,customer_172,2024-01-08 15:41:00,zone_06,zone_01,5.024,0.729,0.034,0.708,4.99,15.57,0,0,47725.0,4032.0,51757.0,0.7654,1
121,customer_193,2024-03-13 04:48:00,zone_08,zone_01,7.701,6.47,0.32,4.423,7.66,26.23,1,0,69075.0,8135.0,77210.0,0.8301,0
122,customer_062,2024-01-19 21:54:00,zone_03,zone_06,2.799,1.5,5.215,5.846,4.972,19.24,1,0,49452.0,5599.0,55051.0,0.9267,1
123,customer_166,2024-03-19 07:09:00,zone_07,zone_01,6.688,9.992,0.908,7.396,6.336,26.93,0,1,61481.0,17703.0,79184.0,0.6838,0
124,customer_053,2024-01-16 15:32:00,zone_01,zone_08,0.051,9.61,7.984,7.561,8.193,23.29,0,0,70803.0,1799.0,72602.0,0.6661,1
125,customer_062,2024-02-16 07:38:00,zone_01,zone_06,0.726,0.292,5.162,8.636,9.45,36.32,0,1,84860.0,9685.0,94545.0,0.4534,0
126,customer_057,2024-03-06 20:56:00,zone_07,zone_03,6.243,7.251,2.454,0.312,7.906,23.12,0,0,68996.0,4066.0,73062.0,0.3906,1
127,customer_170,2024-02-13 03:44:00,zone_02,zone_09,1.925,2.608,8.387,9.81,9.676,29.12,0,0,82616.0,-2829.0,79787.0,0.4547,0
128,customer_024,2024-02-07 18:35:00,zone_07,zone_06,6.887,3.409,5.096,9.668,6.51,28.06,0,1,63090.0,11962.0,75052.0,0.6801,1
129,customer_005,2024-03-08 00:33:00,zone_07,zone_04,6.368,2.403,3.508,0.355,3.518,13.1,0,0,37658.0,-2150.0,35508.0,0.6989,1
130,customer_029,2024-01-02 01:08:00,zone_01,zone_06,0.637,8.305,5.68,3.133,7.224,23.33,0,0,65009.0,1204.0,66213.0,0.3181,0
131,customer_193,2024-03-15 12:19:00,zone_04,zone_07,3.925,8.938,6.726,7.655,3.081,10.08,0,0,33526.0,7253.0,40779.0,0.869,1
132,customer_081,2024-03-03 20:25:00,zone_07,zone_06,6.13,0.404,5.588,4.785,4.414,16.25,0,0,44609.0,826.0,45435.0,0.389,1
133,customer_135,2024-03-09 07:52:00,zone_08,zone_10,7.135,2.7,9.328,0.046,3.443,19.29,0,1,40303.0,14659.0,54962.0,0.8712,1
134,customer_046,2024-02-07 22:51:00,zone_09,zone_04,8.161,4.487,3.54,3.547,4.716,14.99,1,0,45791.0,13882.0,59673.0,0.9457,1
135,customer_129,2024-02-04 23:38:00,zone_04,zone_05,3.304,5.218,4.099,5.789,0.979,4.79,0,0,18269.0,-1292.0,16977.0,0.913,1
136,customer_029,2024-02-21 13:06:00,zone_09,zone_09,8.367,0.876,8.589,8.796,7.923,21.36,0,0,68218.0,6440.0,74658.0,0.3893,1
137,customer_104,2024-02-27 17:43:00,zone_04,zone_07,3.543,8.3,6.375,8.293,2.832,18.83,0,1,36407.0,13709.0,50116.0,0.6067,1
138,customer_023,2024-03-24 14:27:00,zone_01,zone_10,0.07,9.34,9.663,9.463,9.594,26.41,0,0,80769.0,6372.0,87141.0,0.4331,1
139,customer_067,2024-03-18 05:39:00,zone_07,zone_08,6.1,4.029,7.922,4.679,1.934,8.09,0,0,25649.0,470.0,26119.0,0.9434,0
140,customer_184,2024-01-05 00:25:00,zone_03,zone_06,2.417,8.572,5.129,7.983,2.775,11.97,0,0,32635.0,2748.0,35383.0,0.7533,1
141,customer_008,2024-01-14 17:43:00,zone_02,zone_07,1.244,6.764,6.347,1.007,7.693,33.2,0,1,72758.0,14943.0,87701.0,0.7072,1
142,customer_096,2024-03-26 03:13:00,zone_03,zone_05,2.584,5.917,4.061,5.185,1.648,7.71,0,0,23743.0,5149.0,28892.0,0.7286,0
143,customer_057,2024-02-04 08:08:00,zone_09,zone_02,8.279,8.191,1.276,9.166,7.071,30.85,0,1,67851.0,13023.0,80874.0,0.46,0
144,customer_035,2024-02-22 01:13:00,zone_10,zone_05,9.14,4.73,4.071,8.388,6.251,18.27,0,0,56641.0,9503.0,66144.0,0.4112,1
145,customer_024,2024-01-06 08:55:00,zone_10,zone_03,9.617,5.477,2.815,6.556,6.887,28.09,1,1,65367.0,23087.0,88454.0,0.8334,0
146,customer_073,2024-01-10 15:04:00,zone_04,zone_07,3.028,2.747,6.781,1.492,3.957,10.53,0,0,39007.0,205.0,39212.0,0.8423,1
147,customer_068,2024-02-06 16:17:00,zone_05,zone_07,4.559,7.122,6.692,1.821,5.714,24.89,0,1,56729.0,11891.0,68620.0,0.5202,1
148,customer_190,2024-03-05 12:20:00,zone_09,zone_10,8.025,1.591,9.374,6.787,5.368,21.01,1,0,52713.0,12219.0,64932.0,0.896,1
149,customer_175,2024-03-10 19:50:00,zone_04,zone_01,3.179,2.432,0.795,3.256,2.522,11.92,1,0,31092.0,7615.0,38707.0,0.9625,1
150,customer_043,2024-03-21 02:21:00,zone_04,zone_05,3.851,4.799,4.676,3.294,1.716,12.66,1,0,26626.0,10649.0,37275.0,0.9625,1
151,customer_014,2024-01-18 16:53:00,zone_03,zone_04,2.373,3.853,3.986,8.476,4.896,29.9,1,1,54326.0,21386.0,75712.0,0.9358,1
152,customer_119,2024-01-19 22:59:00,zone_06,zone_06,5.724,2.396,5.274,0.205,2.237,6.82,0,0,26832.0,7228.0,34060.0,0.7116,1
153,customer_081,2024-02-18 15:39:00,zone_07,zone_02,6.593,1.919,1.196,3.925,5.758,24.64,1,0,56868.0,6971.0,63839.0,0.7169,1
154,customer_017,2024-02-19 22:20:00,zone_04,zone_05,3.184,8.609,4.914,2.382,6.463,15.89,0,0,56723.0,287.0,57010.0,0.5955,0
155,customer_196,2024-01-04 14:35:00,zone_01,zone_07,0.242,5.909,6.57,0.271,8.475,30.89,1,0,76295.0,10348.0,86643.0,0.5865,1
156,customer_081,2024-02-10 06:40:00,zone_08,zone_04,7.359,3.774,3.138,2.166,4.517,14.23,0,0,44217.0,6457.0,50674.0,0.4222,1
157,customer_081,2024-03-21 14:06:00,zone_07,zone_07,6.166,8.458,6.504,1.842,6.625,19.1,0,0,59300.0,-2931.0,56369.0,0.2408,1
158,customer_015,2024-01-15 18:49:00,zone_03,zone_03,2.19,8.252,2.657,5.045,3.241,19.09,0,1,38991.0,12705.0,51696.0,0.9317,1
159,customer_084,2024-03-14 13:26:00,zone_04,zone_04,3.146,1.109,3.693,4.352,3.289,9.62,0,0,34544.0,1250.0,35794.0,0.7307,1
160,customer_173,2024-02-10 03:50:00,zone_10,zone_10,9.571,5.673,9.073,4.717,1.078,8.7,0,0,20818.0,415.0,21233.0,0.8508,1
161,customer_050,2024-02-17 01:36:00,zone_07,zone_01,6.302,3.056,0.251,8.779,8.329,22.44,0,0,71194.0,10256.0,81450.0,0.3138,0
162,customer_150,2024-02-27 16:51:00,zone_06,zone_03,5.955,5.408,2.728,4.944,3.26,18.02,0,1,38570.0,9613.0,48183.0,0.9172,0
163,customer_103,2024-03-04 14:04:00,zone_07,zone_10,6.397,7.18,9.357,6.39,3.064,7.9,0,0,32334.0,1967.0,34301.0,0.8548,1
164,customer_037,2024-02-27 18:02:00,zone_10,zone_02,9.544,0.085,1.47,6.475,10.297,38.28,1,1,90922.0,27255.0,118177.0,0.7712,1
165,customer_045,2024-01-10 08:06:00,zone_04,zone_04,3.399,5.136,3.974,5.169,0.576,14.04,1,1,20476.0,19186.0,39662.0,0.9505,1
166,customer_016,2024-01-27 01:52:00,zone_03,zone_05,2.809,2.917,4.541,3.048,1.737,5.81,0,0,23327.0,2191.0,25518.0,0.7564,0
167,customer_069,2024-03-17 01:59:00,zone_04,zone_07,3.767,5.34,6.526,9.032,4.609,14.17,0,0,44739.0,-454.0,44285.0,0.8725,1
168,customer_128,2024-01-04 08:59:00,zone_09,zone_07,8.009,1.098,6.118,4.382,3.79,18.25,0,1,41865.0,15620.0,57485.0,0.9294,1
169,customer_024,2024-03-05 01:19:00,zone_02,zone_07,1.21,8.176,6.268,5.711,5.627,20.26,0,0,53892.0,6214.0,60106.0,0.433,1
170,customer_005,2024-02-16 14:15:00,zone_03,zone_10,2.068,5.437,9.404,5.591,7.338,21.04,0,0,64548.0,887.0,65435.0,0.3986,0
171,customer_031,2024-01-11 22:20:00,zone_03,zone_04,2.282,2.111,3.928,8.276,6.381,19.7,0,0,58136.0,-6541.0,51595.0,0.7915,0
172,customer_127,2024-01-12 11:49:00,zone_07,zone_05,6.364,7.697,4.898,5.346,2.771,11.65,0,0,32451.0,1376.0,33827.0,0.8475,1
